42		A3EW
4000i	ACET
4020i	ACER
5000i	ACEP
4020	A6WD
4750	A6F7

227		A7AK

223		A1UG
283		A1UF A1V4
363		A1UE A1V4
423		A1UD

224e	A61H
284e	A61G
364e	A61F
454e	A61E
554e	A61D

308		AA6W A9HK
368		A9HJ

C35		A121
C3110	A6DT
C3320i	AAJP
C3350	A4Y4
C3850	A3GN

C220	A0ED023
C280	A0ED022
C360	A0ED021
C452	A0P2021

C224	A4FM
C284	A4FK
C364	A161
C454	A4FJ

C224e	A5C4
C284e	A5C2
C364e	A5C1
C454e	A5C0 A4FJ
C554e	A5AY
C654e	A2X1
C754e	A2X0

C227	A798

C258	A7R0 A7PY
C308	A79M A7PY
C368	A7PU
C458	A79M

C250i	AA2M AAM0
C300i	AA2K
C450i	AA7R
